Date,Instrument,Price Close
2023-06-15,.SPX,4425.84
2023-06-16,.SPX,4409.59
2023-06-16,.SPX,4409.59
2023-06-20,.SPX,4388.71
2023-06-21,.SPX,4365.69
2023-06-22,.SPX,4381.89
2023-06-23,.SPX,4348.33
2023-06-26,.SPX,4328.82
2023-06-27,.SPX,4378.41
2023-06-28,.SPX,4376.86
2023-06-29,.SPX,4396.44
2023-06-30,.SPX,4450.38
2023-07-03,.SPX,4455.59
2023-07-03,.SPX,4455.59
2023-07-05,.SPX,4446.82
2023-07-06,.SPX,4411.59
2023-07-07,.SPX,4398.95
2023-07-10,.SPX,4409.53
2023-07-11,.SPX,4439.26
2023-07-12,.SPX,4472.16
2023-07-13,.SPX,4510.04
2023-07-14,.SPX,4505.42
2023-07-17,.SPX,4522.79
2023-07-18,.SPX,4554.98
2023-07-19,.SPX,4565.72
2023-07-20,.SPX,4534.87
2023-07-21,.SPX,4536.34
2023-07-24,.SPX,4554.64
2023-07-25,.SPX,4567.46
2023-07-26,.SPX,4566.75
2023-07-27,.SPX,4537.41
2023-07-28,.SPX,4582.23
2023-07-31,.SPX,4588.96
2023-08-01,.SPX,4576.73
2023-08-02,.SPX,4513.39
2023-08-03,.SPX,4501.89
2023-08-04,.SPX,4478.03
2023-08-07,.SPX,4518.44
2023-08-08,.SPX,4499.38
2023-08-09,.SPX,4467.71
2023-08-10,.SPX,4468.83
2023-08-11,.SPX,4464.05
2023-08-14,.SPX,4489.72
2023-08-15,.SPX,4437.86
2023-08-16,.SPX,4404.33
2023-08-17,.SPX,4370.36
2023-08-18,.SPX,4369.71
2023-08-21,.SPX,4399.77
2023-08-22,.SPX,4387.55
2023-08-23,.SPX,4436.01
2023-08-24,.SPX,4376.31
2023-08-25,.SPX,4405.71
2023-08-28,.SPX,4433.31
2023-08-29,.SPX,4497.63
2023-08-30,.SPX,4514.87
2023-08-31,.SPX,4507.66
2023-09-01,.SPX,4515.77
2023-09-01,.SPX,4515.77
2023-09-05,.SPX,4496.83
2023-09-06,.SPX,4465.48
2023-09-07,.SPX,4451.14
2023-09-08,.SPX,4457.49
2023-09-11,.SPX,4487.46
2023-09-12,.SPX,4461.9
2023-09-13,.SPX,4467.44
2023-09-14,.SPX,4505.1
2023-09-15,.SPX,4450.32
2023-09-18,.SPX,4453.53
2023-09-19,.SPX,4443.95
2023-09-20,.SPX,4402.2
2023-09-21,.SPX,4330.0
2023-09-22,.SPX,4320.06
2023-09-25,.SPX,4337.44
2023-09-26,.SPX,4273.53
2023-09-27,.SPX,4274.51
2023-09-28,.SPX,4299.7
2023-09-29,.SPX,4288.05
2023-10-02,.SPX,4288.39
2023-10-03,.SPX,4229.45
2023-10-04,.SPX,4263.75
2023-10-05,.SPX,4258.19
2023-10-06,.SPX,4308.5
2023-10-09,.SPX,4335.66
2023-10-10,.SPX,4358.24
2023-10-11,.SPX,4376.95
2023-10-12,.SPX,4349.61
2023-10-13,.SPX,4327.78
2023-10-16,.SPX,4373.63
2023-10-17,.SPX,4373.2
2023-10-18,.SPX,4314.6
2023-10-19,.SPX,4278.0
2023-10-20,.SPX,4224.16
2023-10-23,.SPX,4217.04
2023-10-24,.SPX,4247.68
2023-10-25,.SPX,4186.77
2023-10-26,.SPX,4137.23
2023-10-27,.SPX,4117.37
2023-10-30,.SPX,4166.82
2023-10-31,.SPX,4193.8
2023-11-01,.SPX,4237.86
2023-11-02,.SPX,4317.78
2023-11-03,.SPX,4358.34
2023-11-06,.SPX,4365.98
2023-11-07,.SPX,4378.38
2023-11-08,.SPX,4382.78
2023-11-09,.SPX,4347.35
2023-11-10,.SPX,4415.24
2023-11-13,.SPX,4411.55
2023-11-14,.SPX,4495.7
2023-11-15,.SPX,4502.88
2023-11-16,.SPX,4508.24
2023-11-17,.SPX,4514.02
2023-11-20,.SPX,4547.38
2023-11-21,.SPX,4538.19
2023-11-22,.SPX,4556.62
2023-11-22,.SPX,4556.62
2023-11-24,.SPX,4559.34
2023-11-27,.SPX,4550.43
2023-11-28,.SPX,4554.89
2023-11-29,.SPX,4550.58
2023-11-30,.SPX,4567.8
2023-12-01,.SPX,4594.63
2023-12-04,.SPX,4569.78
2023-12-05,.SPX,4567.18
2023-12-06,.SPX,4549.34
2023-12-07,.SPX,4585.59
2023-12-08,.SPX,4604.37
2023-12-11,.SPX,4622.44
2023-12-12,.SPX,4643.7
2023-12-13,.SPX,4707.09
2023-12-14,.SPX,4719.55
2023-12-15,.SPX,4719.19
2023-12-18,.SPX,4740.56
2023-12-19,.SPX,4768.37
2023-12-20,.SPX,4698.35
2023-12-21,.SPX,4746.75
2023-12-22,.SPX,4754.63
2023-12-22,.SPX,4754.63
2023-12-26,.SPX,4774.75
2023-12-27,.SPX,4781.58
2023-12-28,.SPX,4783.35
2023-12-29,.SPX,4769.83
2023-12-29,.SPX,4769.83
2024-01-02,.SPX,4742.83
2024-01-03,.SPX,4704.81
2024-01-04,.SPX,4688.68
2024-01-05,.SPX,4697.24
2024-01-08,.SPX,4763.54
2024-01-09,.SPX,4756.5
2024-01-10,.SPX,4783.45
2024-01-11,.SPX,4780.24
2024-01-12,.SPX,4783.83
2024-01-12,.SPX,4783.83
2024-01-16,.SPX,4765.98
2024-01-17,.SPX,4739.21
2024-01-18,.SPX,4780.94
2024-01-19,.SPX,4839.81
2024-01-22,.SPX,4850.43
2024-01-23,.SPX,4864.6
2024-01-24,.SPX,4868.55
2024-01-25,.SPX,4894.16
2024-01-26,.SPX,4890.97
2024-01-29,.SPX,4927.93
2024-01-30,.SPX,4924.97
2024-01-31,.SPX,4845.65
2024-02-01,.SPX,4906.19
2024-02-02,.SPX,4958.61
2024-02-05,.SPX,4942.81
2024-02-06,.SPX,4954.23
2024-02-07,.SPX,4995.06
2024-02-08,.SPX,4997.91
2024-02-09,.SPX,5026.61
2024-02-12,.SPX,5021.84
2024-02-13,.SPX,4953.17
2024-02-14,.SPX,5000.62
2024-02-15,.SPX,5029.73
2024-02-16,.SPX,5005.57
2024-02-16,.SPX,5005.57
2024-02-20,.SPX,4975.51
2024-02-21,.SPX,4981.8
2024-02-22,.SPX,5087.03
2024-02-23,.SPX,5088.8
2024-02-26,.SPX,5069.53
2024-02-27,.SPX,5078.18
2024-02-28,.SPX,5069.76
2024-02-29,.SPX,5096.27
2024-03-01,.SPX,5137.08
2024-03-04,.SPX,5130.95
2024-03-05,.SPX,5078.65
2024-03-06,.SPX,5104.76
2024-03-07,.SPX,5157.36
2024-03-08,.SPX,5123.69
2024-03-11,.SPX,5117.94
2024-03-12,.SPX,5175.27
2024-03-13,.SPX,5165.31
2024-03-14,.SPX,5150.48
2024-03-15,.SPX,5117.09
2024-03-18,.SPX,5149.42
2024-03-19,.SPX,5178.51
2024-03-20,.SPX,5224.62
2024-03-21,.SPX,5241.53
2024-03-22,.SPX,5234.18
2024-03-25,.SPX,5218.19
2024-03-26,.SPX,5203.58
2024-03-27,.SPX,5248.49
2024-03-28,.SPX,5254.35
